greenhouse_district,imd_obj_id,imd_district
MANDSAUR-MADHYA PRADESH,312,MANDSAUR
JHANSI-UTTAR PRADESH,374,JHANSI
SONBHADRA-UTTAR PRADESH,716,SONBHADRA
HANUMAKONDA-TELANGANA,132,HANAMKONDA
BALANGIR-ODISHA,188,BALANGIR
SARAIKELA KHARSAWAN-JHARKHAND,252,SARAIKELA
PALAMU-JHARKHAND,598,PALAMU
CHHINDWARA-MADHYA PRADESH,236,CHHINDWARA
KENDUJHAR-ODISHA,218,KENDUJHAR
MULUGU-TELANGANA,145,MULUGU
BETUL-MADHYA PRADESH,224,BETUL
GODDA-JHARKHAND,341,GOODA
CHIKKABALLAPURA-KARNATAKA,725,CHIKBALLAPUR
PURBI CHAMPARAN-BIHAR,430,EAST CHAMPARAN
NAWADA-BIHAR,330,NAWADA
JANGOAN-TELANGANA,126,JANGAON
SRIKAKULAM-ANDHRA PRADESH,149,SRIKAKULAM
BARABANKI-UTTAR PRADESH,440,BARABANKI
KARIMNAGAR-TELANGANA,141,KARIMNAGAR
MIRZAPUR-UTTAR PRADESH,336,MIRZAPUR
TIKAMGARH-MADHYA PRADESH,358,TIKAMGARH
KURNOOL-ANDHRA PRADESH,102,KURNOOL
UNNAO-UTTAR PRADESH,429,UNNAO
ANANTAPUR-ANDHRA PRADESH,94,ANANTAPURAMU
GAYA-BIHAR,324,GAYA
DHENKANAL-ODISHA,192,DHENKANAL
JHABUA-MADHYA PRADESH,260,JHABUA
WEST SINGHBHUM-JHARKHAND,241,PASCHIM SINGHBHUMI
KARAULI-RAJASTHAN,428,KARAULI
BANKA-BIHAR,333,BANKA
SIKAR-RAJASTHAN,472,SIKAR
SULTANPUR-UTTAR PRADESH,401,SULTANPUR
RATLAM-MADHYA PRADESH,281,RATLAM
ADILABAD-TELANGANA,164,ADILABAD
MUZAFFARPUR-BIHAR,399,MUZAFFARPUR
CHANDAULI-UTTAR PRADESH,355,CHANDAULI
WARANGAL-TELANGANA,133,WARANGAL
HARIDWAR-UTTARAKHAND,526,HARIDWAR
SUNDARGARH-ODISHA,228,SUNDARGARH
CHATRA-JHARKHAND,302,CHATRA
DEWAS-MADHYA PRADESH,258,DEWAS
WANAPARTHY-TELANGANA,106,WANAPARTHY
CHITRAKOOT-UTTAR PRADESH,687,CHITRAKOOT
MAHABUBNAGAR-TELANGANA,112,MAHABUBNAGAR
TONK-RAJASTHAN,582,TONK
BHAGALPUR-BIHAR,361,BHAGALPUR
NIZAMABAD-TELANGANA,147,NIZAMABAD
LALITPUR-UTTAR PRADESH,335,LALITPUR
NAYAGARH-ODISHA,177,NAYAGARH
LOHARDAGA-JHARKHAND,597,LOHARDAGA
RAMGARH-JHARKHAND,600,RAMGARH
GIRIDIH-JHARKHAND,314,GIRIDIH
VARANASI-UTTAR PRADESH,356,VARANASI
INDORE-MADHYA PRADESH,250,INDORE
BIJNOR-UTTAR PRADESH,519,BIJNOR
KALAHANDI-ODISHA,173,KALAHANDI
DHAR-MADHYA PRADESH,253,DHAR
RAISEN-MADHYA PRADESH,276,RAISEN
PURNIA-BIHAR,390,PURNEA
BOKARO-JHARKHAND,284,BOKARO
MEDAK-TELANGANA,129,MEDAK
BARGARH-ODISHA,213,BARAGARH
BASTI-UTTAR PRADESH,432,BASTI
KHUNTI-JHARKHAND,259,KHUNTI
NAGAUR-RAJASTHAN,463,NAGAUR
BARWANI-MADHYA PRADESH,219,BARWANI
PASHCHIM CHAMPARAN-BIHAR,448,WEST CHAMPARAN
SIMDEGA-JHARKHAND,596,SIMDEGA
NANDURBAR-MAHARASHTRA,216,NANDURBAR
KHAMMAM-TELANGANA,120,KHAMMAM
DUMKA-JHARKHAND,311,DUMKA
JAMUI-BIHAR,334,JAMUI
MEDCHAL MALKAJGIRI-TELANGANA,123,M. MALKAJGIRI
ALIRAJPUR-MADHYA PRADESH,234,ALIRAJPUR
KHUNTI-JHARKHAND po,259,KHUNTI
NABARANGPUR-ODISHA,167,NABARANGAPUR
ANUGUL-ODISHA,204,ANUGUL
EAST SINGHBHUM-JHARKHAND,722,PURBI SINGBHUMI
PALNADU-ANDHRA PRADESH,744,PALNADU
NANDED-MAHARASHTRA,163,NANDED
AYODHYA-UTTAR PRADESH,420,AYODHYA
PARVATHIPURAM MANYAM-ANDHRA PRADESH,745,PARVATHIPURAMMANYAM
KODERMA-JHARKHAND,315,KODARMA
KHARGONE-MADHYA PRADESH,230,KHARGONE
KHERI-UTTAR PRADESH,493,KHERI
VAISHALI-BIHAR,379,VAISHALI
NAGARKURNOOL-TELANGANA,109,NAGARKURNOOL
KALABURAGI-KARNATAKA,124,GULBARGA
GUNTUR-ANDHRA PRADESH,108,GUNTUR
ALLAHABAD-UTTAR PRADESH,685,PRAYAGRAJ
SIDDIPET-TELANGANA,136,SIDDIPET
ELURU-ANDHRA PRADESH,739,ELURU
YAVATMAL-MAHARASHTRA,180,YAVATMAL
NARSINGHPUR-MADHYA PRADESH,254,NARSINGHPUR
GHAZIPUR-UTTAR PRADESH,371,GAZIPUR
PRAYAGRAJ-UTTAR PRADESH,685,PRAYAGRAJ
KANPUR NAGAR-UTTAR PRADESH,405,KANPUR
NTR-ANDHRA PRADESH,743,NTR
EAST SINGHBUM-JHARKHAND,722,PURBI SINGBHUMI
BALRAMPUR-UTTAR PRADESH,288,BALRAMPUR-UP
RANGA REDDY-TELANGANA,118,RANGAREDDY
BALAGHAT-MADHYA PRADESH,223,BALAGHAT
CHHATARPUR-MADHYA PRADESH,343,CHHATARPUR
DEOGHAR-JHARKHAND,205,DEOGARH
SINGRAULI-MADHYA PRADESH,602,SINGRAULI
KORAPUT-ODISHA,152,KORAPUT
BHOPAL-MADHYA PRADESH,280,BHOPAL
NUAPADA-ODISHA,189,NUAPARHA
BEGUSARAI-BIHAR,369,BEGUSARAI
PATNA-BIHAR,364,PATNA
DHANBAD-JHARKHAND,289,DHANBAD
UDAIPUR-RAJASTHAN,709,UDAIPUR
AYOTHIYAPATTINAM-TAMIL NADU,66,SALEM
SITAPUR-UTTAR PRADESH,461,SITAPUR
NALGONDA-TELANGANA,115,NALGONDA
YADADRI BHUVANAGIRI-TELANGANA,125,Y. BHUVANAGIRI
JHARSUGUDA-ODISHA,595,JHARSUGUDA
DURG-CHHATTISGARH,199,DURG
BAHRAICH-UTTAR PRADESH,474,BAHRAICH
KATNI-MADHYA PRADESH,286,KATNI
EAST NIMAR-MADHYA PRADESH,226,KHANDWA
SHRAVASTI-UTTAR PRADESH,464,SHRAWASTI
SAGAR-MADHYA PRADESH,299,SAGAR
NAGPUR-MAHARASHTRA,206,NAGPUR
TIRUCHIRAPALLI-TAMIL NADU,54,THIRUCHIRAPALLI
ANNAMAYYA-ANDHRA PRADESH,737,ANNAMAYYA
SAMASTIPUR-BIHAR,381,SAMASTIPUR
BHOJPUR-BIHAR,365,BHOJPUR
FARIDABAD-HARYANA,606,FARIDABAD
SURYAPET-TELANGANA,117,SURYAPET
GOPALGANJ-BIHAR,409,GOPALGANJ
SAMBALPUR-ODISHA,217,SAMBALPUR
JHUNJHUNU-RAJASTHAN,485,JHUNJHUNU
NANDYAL-ANDHRA PRADESH,742,NANDYAL
AMETHI-UTTAR PRADESH,410,AMETHI
JABALPUR-MADHYA PRADESH,268,JABALPUR
Jamui-Bihar,334,JAMUI
Sundargarh-Odisha,228,SUNDARGARH
BUXAR-BIHAR,363,BUXAR
KAMAREDDY-TELANGANA,708,KAMAREDDY
PUNE-MAHARASHTRA,159,PUNE
BUNDI-RAJASTHAN,373,BUNDI
JAIPUR-RAJASTHAN,614,JAIPUR
VIZIANAGARAM-ANDHRA PRADESH,150,VIZIANAGARAM
SRI MUKTSAR SAHIB-PUNJAB,541,MUKTSAR
VIKARABAD-TELANGANA,121,VIKARABAD
RANCHI-JHARKHAND,272,RANCHI
BATHINDA-PUNJAB,535,BATHINDA
MAHABUBABAD-TELANGANA,128,MAHABUBABAD
DAMOH-MADHYA PRADESH,298,DAMOH
JAUNPUR-UTTAR PRADESH,384,JAUNPUR
SIDDHARTHNAGAR-UTTAR PRADESH,447,SIDDHARTHNAGAR
ALIGARH-UTTAR PRADESH,469,ALIGARH
BHADRADRI KOTHAGUDEM-TELANGANA,707,B. KOTHAGUDEM
PRATAPGARH-UTTAR PRADESH,29,PRATAPGARH-UP
NALANDA-BIHAR,354,NALANDA
LUCKNOW-UTTAR PRADESH,435,LUCKNOW
Mulugu-TELANGANA,145,MULUGU
RAJANNA SIRCILLA-TELANGANA,140,RAJANNA SIRCILLA
Y.S.R.-ANDHRA PRADESH,92,YSR KADAPA
DAUSA-RAJASTHAN,437,DAUSA
PRAKASAM-ANDHRA PRADESH,103,PRAKASAM
SHIVPURI-MADHYA PRADESH,375,SHIVPURI
JALANDHAR-PUNJAB,557,JALANDHAR
SHAHJAHANPUR-UTTAR PRADESH,477,SHAHJAHANPUR
UJJAIN-MADHYA PRADESH,279,UJJAIN
HAZARIBAGH-JHARKHAND,296,HAZARIBAGH
SRI SATHYA SAI-ANDHRA PRADESH,746,SRISATHYASAI
KATIHAR-BIHAR,378,KATIHAR
PALWAL-HARYANA,468,PALWAL
KISHANGANJ-BIHAR,415,KISHANGANJ
JAYASHANKAR BHUPALPALLY-TELANGANA,629,J. BHUPALPALLY
SANGAREDDY-TELANGANA,134,SANGAREDDY
Narayanpet-TELANGANA,700,NARAYANPET
CHITTOOR-ANDHRA PRADESH,85,CHITTOOR
GUMLA-JHARKHAND,271,GUMLA
CHANDRAPUR-MAHARASHTRA,617,CHANDRAPUR
AJMER-RAJASTHAN,431,AJMER
ANAKAPALLI-ANDHRA PRADESH,736,ANAKAPALLI
KOLHAPUR-MAHARASHTRA,114,KOLHAPUR
MAYURBHANJ-ODISHA,232,MAYURBHANJ
PRAYAG-UTTAR PRADESH,685,PRAYAGRAJ
PEDDAPALLI-TELANGANA,144,PEDDAPALLE
